0,1,2,function_value
1,1,1,0.8923901834753062
1,1,2,1.7437354891253989
1,1,3,2.560421834261657
1,1,4,3.970840762640288
1,2,1,1.6056682431866356
1,2,2,2.1565732628629277
1,2,3,3.0354713726598073
1,2,4,4.345110995901264
1,3,1,1.7022279893930234
1,3,2,2.349853098808917
1,3,3,3.4501340237389115
1,3,4,4.8191441573103
1,4,1,1.8232798280044906
1,4,2,2.766411631819038
1,4,3,4.153391094768831
1,4,4,5.291050482286358
2,1,1,1.7412795271496955
2,1,2,2.3774568577563797
2,1,3,3.3412276658407802
2,1,4,4.758067922123708
2,2,1,2.062151822478819
2,2,2,3.064678152804273
2,2,3,3.954673546013695
2,2,4,5.0129769596519065
2,3,1,2.1490552458864904
2,3,2,3.4978676230203485
2,3,3,4.629775201984296
2,3,4,5.500490316411989
2,4,1,2.4735972343744463
2,4,2,3.5820833141205592
2,4,3,4.717260792565638
2,4,4,5.985899559312898
3,1,1,1.9241726515194164
3,1,2,2.9633427336527673
3,1,3,4.33978078114956
3,1,4,5.638880548257254
3,2,1,2.3763020165191797
3,2,2,3.811374377712313
3,2,3,5.095749226592341
3,2,4,6.074360490193893
3,3,1,2.6202438083649353
3,3,2,4.239634486642111
3,3,3,5.752292739132004
3,3,4,6.85537339741321
3,4,1,2.9837072181813418
3,4,2,4.369012378589256
3,4,3,6.271381128841861
3,4,4,7.095594107301967
4,1,1,2.7914134643472104
4,1,2,3.8727425863274534
4,1,3,4.989427043149385
4,1,4,6.145337795523944
4,2,1,3.171711062101651
4,2,2,4.26079146889666
4,2,3,5.689325212605497
4,2,4,6.920713341745653
4,3,1,3.4031272751885293
4,3,2,4.748709739155537
4,3,3,6.5570444374614825
4,3,4,7.573999745239194
4,4,1,3.8095548701555613
4,4,2,4.886158931942434
4,4,3,7.014023604960793
4,4,4,7.686587512403421
