0,1,2,function_value
1,1,1,0.5508916751988477
1,1,2,1.781766010661968
1,1,3,3.0138225830200347
1,1,4,4.246062147892073
1,2,1,1.0301201334472991
1,2,2,2.2599963182405505
1,2,3,3.4921897110097935
1,2,4,4.72448118228919
1,3,1,1.5067906152810047
1,3,2,2.7380929582827833
1,3,3,3.970645369419688
1,3,4,5.202928201439042
1,4,1,1.9849800108231686
1,4,2,3.2170229257764
1,4,3,4.449244117102943
1,4,4,5.681372657214208
2,1,1,1.3481837412278366
2,1,2,2.5780448077960623
2,1,3,3.8109874563482316
2,1,4,5.043582086870152
2,2,1,1.8271318030665948
2,2,2,3.058050858307978
2,2,3,4.287992217636925
2,2,4,5.521920382723674
2,3,1,2.3035873379699665
2,3,2,3.535236421329047
2,3,3,4.767263815823816
2,3,4,6.000324508083022
2,4,1,2.7824382389668005
2,4,2,4.014292049279662
2,4,3,5.246307244890598
2,4,4,6.478849237881539
3,1,1,2.144646578201501
3,1,2,3.3761474625371872
3,1,3,4.608754416018771
3,1,4,5.841127536157209
3,2,1,2.6228987882161237
3,2,2,3.8547489636664447
3,2,3,5.087534941187236
3,2,4,6.319470422859565
3,3,1,3.1007252660906217
3,3,2,4.331114217417183
3,3,3,5.574142831301084
3,3,4,6.798214461586541
3,4,1,3.5798577566284107
3,4,2,4.8112799284356225
3,4,3,6.045912717724372
3,4,4,7.276281106566226
4,1,1,2.9422329878887874
4,1,2,4.174339000192947
4,1,3,5.40645808124701
4,1,4,6.638599933554491
4,2,1,3.420652805469954
4,2,2,4.652704757632026
4,2,3,5.8848696650120464
4,2,4,7.11707769892451
4,3,1,3.8989966486077856
4,3,2,5.130942645557832
4,3,3,6.364208826522857
4,3,4,7.595574965899858
4,4,1,4.377444130748755
4,4,2,5.609159538674664
4,4,3,6.842403463811084
4,4,4,8.073067369102256
