config,train_mse,val_mse,best_rounds
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2017120381830015,0.19224745311300648,325
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20095672847554208,0.19168306803277485,725
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20138499111522268,0.19217945968689792,324
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2009476375098126,0.1916647317599605,725
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2013957953487156,0.19218386129637358,326
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2025817678220344,0.1925948044236474,597
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20252959548600222,0.19279681432213197,171
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2025817678220344,0.1925948044236474,597
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20252959548600222,0.19279681432213197,171
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20183584379894623,0.1922459730662468,334
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2019110937630377,0.19249495344837428,169
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2018368829684865,0.19224767927518646,334
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20191109653986034,0.19249494610911785,168
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20151595773501282,0.19201341153562487,669
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20218352115845326,0.19291951754046405,167
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20161516247799546,0.1921060867684425,334
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2021906874144773,0.1929169247686764,167
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20113075620596743,0.19161130774282484,669
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2012220770447682,0.1919162659665753,167
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20113649147707985,0.19161080259239102,669
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.201230316621537,0.1919226759409658,166
