lambda,train_mse,val_mse
0.0,0.2831760813619829,1.66881886479117
0.001953125,0.28317716343979626,1.6676849210006262
0.00390625,0.28318026355892373,1.6665574684886504
0.0078125,0.283192452040198,1.6643394151648825
0.015625,0.2832399742932373,1.6600413118338262
0.03125,0.2834202159567819,1.6519536284887553
0.0625,0.284070572925467,1.6376183520919503
0.125,0.28621861956931316,1.6147944953609372
0.25,0.2939076773496373,1.5855228131782235
0.5,0.31164598935049836,1.5602889706397445
1.0,0.3498119810948466,1.5327876435216137
2.0,0.41144188003314436,1.5190094353495966
4.0,0.47645893978349085,1.523567993056641
8.0,0.5379889167170446,1.5368922287685094
16.0,0.5828610225559113,1.550297719411831
32.0,0.6088209665614888,1.5587900464005302
64.0,0.6228711798103029,1.5635739125858117
128.0,0.6301935851248225,1.5661133448061197
256.0,0.6339333096478288,1.5674217873194243
inf,0.6377287236194812,1.5186028109511975
