0,1,function_value
1,1,1.0377173465639902
1,2,1.4092049881944422
1,3,1.7891634188673866
1,4,2.148205524980057
1,5,2.178413455349347
1,7,2.178413996567691
2,1,1.495810562813008
2,2,1.923269253843901
2,3,2.3792453764166215
2,4,2.3792458498158036
2,5,2.8298429270987486
3,1,1.9788992574539221
3,2,2.544266435945856
3,3,2.9909207676096865
3,4,3.375351177522111
3,5,3.3753515080136176
3,6,3.5114913357094255
3,7,3.996701433903322
4,2,3.19289774119224
4,3,3.456747940402641
4,4,3.9031457246889616
4,5,4.404695597782741
4,6,4.404695054703219
4,7,4.415283930962937
5,1,4.044242213417749
5,2,4.04424320253133
5,3,4.044244203202849
5,4,4.872321556400959
5,5,4.950489537612729
5,6,5.078924455073945
5,7,5.543966032318251
6,1,4.33670626859052
6,2,4.33670651505732
6,3,5.005464991536874
6,4,5.2974179889257185
6,5,5.702485181378853
6,6,5.900356174974201
6,7,6.23989505825684
7,1,5.423711330434239
7,2,5.473037373566347
7,3,5.994556854600638
7,4,5.99455748710771
7,5,5.994558222113167
7,6,6.540978911658614
7,7,6.707880641934109
