0,1,2,function_value
1.0,2.0,1.0,1.0
1.0,2.0,2.0,1.0
2.0,2.0,1.0,1.0
2.0,2.0,2.0,1.6728207469194731
2.0,2.0,3.0,2.541224867339794
2.0,3.0,2.0,2.28372118318853
2.0,3.0,3.0,2.7525411027915476
2.0,4.0,2.0,2.2837084549852547
2.0,4.0,3.0,3.2053242063757996
3.0,2.0,2.0,2.6715914923034236
3.0,2.0,3.0,3.3266227599113716
3.0,2.0,4.0,4.616788116510159
3.0,3.0,2.0,2.945036822194284
3.0,3.0,3.0,3.874363577879674
3.0,3.0,4.0,5.5372528382717725
3.0,4.0,2.0,3.009687834970593
3.0,4.0,3.0,4.588174150695151
3.0,4.0,4.0,5.598783434704762
3.5,3.8,3.6,5.629873569516137
3.5,4.0,3.5,5.6051652564932795
4.0,3.0,4.0,6.161372871527879
4.0,4.0,3.0,5.64148374701309
4.0,4.0,4.0,6.971846244545415
