0,1,2,function_value
1.0,2.0,1.0,1.0
1.0,2.0,2.0,1.0
2.0,2.0,1.0,1.0
2.0,2.0,2.0,1.316985559161752
2.0,2.0,3.0,2.3556016135744926
2.0,3.0,2.0,1.9000716724494489
2.0,3.0,3.0,2.891547120833288
2.0,4.0,2.0,2.3801794455597434
2.0,4.0,3.0,3.4352870948425753
3.0,2.0,2.0,2.4745831034128947
3.0,2.0,3.0,3.527011407649406
3.0,2.0,4.0,4.583787382785902
3.0,3.0,2.0,3.0085320823526023
3.0,3.0,3.0,3.97349992202369
3.0,3.0,4.0,5.138829364532113
3.0,4.0,2.0,3.545072060195346
3.0,4.0,3.0,4.595848253925439
3.0,4.0,4.0,5.634909667458598
3.5,3.8,3.6,5.7228848417548654
3.5,4.0,3.5,5.72551646024788
4.0,3.0,4.0,6.298305157461308
4.0,4.0,3.0,5.779351114397826
4.0,4.0,4.0,6.920963813460251
