0,1,2,function_value
1.0,2.0,1.0,1.0
1.0,2.0,2.0,1.0
2.0,2.0,1.0,1.0
2.0,2.0,2.0,1.1584571510526225
2.0,2.0,3.0,2.19622825446066
2.0,3.0,2.0,1.7390243686090465
2.0,3.0,3.0,2.7759033294150446
2.0,4.0,2.0,2.3175281355638777
2.0,4.0,3.0,3.3556495464567133
3.0,2.0,2.0,2.408386069875815
3.0,2.0,3.0,3.44649130317038
3.0,2.0,4.0,4.484613507653919
3.0,3.0,2.0,2.9881102219465228
3.0,3.0,3.0,4.024015460413031
3.0,3.0,4.0,5.064586474487462
3.0,4.0,2.0,3.567693324918007
3.0,4.0,3.0,4.605450476044431
3.0,4.0,4.0,5.643531442428364
3.5,3.8,3.6,5.738043674307672
3.5,4.0,3.5,5.7501778791994544
4.0,3.0,4.0,6.314653155576006
4.0,4.0,3.0,5.856122859834073
4.0,4.0,4.0,6.896163573921578
