0,1,2,function_value
1.0,2.0,1.0,1.0
1.0,2.0,2.0,1.0
2.0,2.0,1.0,1.0
2.0,2.0,2.0,1.6224712769678957
2.0,2.0,3.0,2.6458146806381393
2.0,3.0,2.0,2.23398439085162
2.0,3.0,3.0,2.925581385665193
2.0,4.0,2.0,2.3024842539804933
2.0,4.0,3.0,3.444632277005411
3.0,2.0,2.0,2.600043465143269
3.0,2.0,3.0,3.6464940485217854
3.0,2.0,4.0,4.856651505463901
3.0,3.0,2.0,2.9543124684883906
3.0,3.0,3.0,3.8817388384825873
3.0,3.0,4.0,5.4304066108318905
3.0,4.0,2.0,3.227317850657891
3.0,4.0,3.0,4.587552375761053
3.0,4.0,4.0,5.60178440722656
3.5,3.8,3.6,5.677149914108471
3.5,4.0,3.5,5.643489264943962
4.0,3.0,4.0,6.302067627369855
4.0,4.0,3.0,5.627200367412193
4.0,4.0,4.0,6.968132441392266
