0,1,2,function_value
1,1,1,1.820080672321358
1,1,2,2.7373933673478876
1,1,3,3.3248347172522066
1,1,4,3.7256781921283513
1,2,1,2.5330193977964024
1,2,2,3.0407588233175464
1,2,3,3.5629726658053715
1,3,1,2.7463576283450415
1,3,2,3.673560263060785
1,3,3,3.9610462313280492
1,4,1,2.845391933178825
1,4,2,3.6735568000599876
1,4,3,4.081951436830766
2,1,1,2.692608827877777
2,1,2,3.4521742591848867
2,1,3,4.283800580951162
2,1,4,4.606599543728942
2,2,1,3.025380383043318
2,2,2,3.8863150344179678
2,2,3,5.035930873357609
2,2,4,5.769220627840222
2,3,1,3.225325813774103
2,3,2,3.9933360075239226
2,3,3,5.03922738419237
2,3,4,5.769223734340776
2,4,1,3.6284908583195206
2,4,2,4.257875990466413
2,4,3,5.039213921075803
2,4,4,5.769202833425511
3,1,1,2.692624215026095
3,1,2,4.2613904426229015
3,1,3,5.039127101843818
3,1,4,5.769219868497888
3,2,1,3.3868786841129954
3,2,2,4.7851265157166365
3,2,3,5.039108144259
3,2,4,5.769228160619247
3,3,1,3.386877975088972
3,3,2,4.905175276906106
3,3,3,5.0394243921959845
3,3,4,5.769248343999179
3,4,1,3.6284985434725283
3,4,2,4.957624485584574
3,4,3,5.039052782834879
3,4,4,5.769178753123614
4,1,2,4.795310280280445
4,1,3,5.03913714422031
4,2,2,5.462366197680994
4,2,3,6.285637163516887
4,2,4,7.019304925203487
4,3,1,4.036081144650599
4,3,2,5.462396312172381
4,3,3,6.89846637986807
4,3,4,7.078906587621386
4,4,1,4.3352421089158115
4,4,2,5.585121662354207
4,4,3,6.898459215855582
4,4,4,7.078884304571868
