lambda,train_mse,val_mse
0.0,0.19447264520010576,0.19767053592747993
0.001953125,0.19447558457848693,0.1976730304252851
0.00390625,0.1944877926385745,0.19768447961948715
0.0078125,0.19449404223273956,0.19768114774063544
0.015625,0.19454112562798329,0.1977013281656246
0.03125,0.19470733320458977,0.1977478873175254
0.0625,0.19512252309748332,0.1978828781736045
0.125,0.1960125146089481,0.19818808611172445
0.25,0.1974933584223334,0.19874924357390242
0.5,0.1995424019010879,0.19960305732142433
1.0,0.20194026951941996,0.20073551337950435
2.0,0.2044829621481743,0.20212357403482695
4.0,0.20680995786970444,0.20356455408688404
8.0,0.20870665377049358,0.20486888230609973
16.0,0.210299498379762,0.20610279234580792
32.0,0.21162703787732984,0.2072071298573602
64.0,0.21270949163346026,0.20816182329284627
128.0,0.21357034538124794,0.2089622403428729
256.0,0.2143155308353408,0.20968546652615613
inf,11.543060082538142,11.575847921280385
