config,train_mse,val_mse,best_rounds
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22737676383536842,0.22717091163463904,331
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.22673184637600924,0.22671127740309366,400
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22711090280599708,0.22694133633639238,332
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2267369703318813,0.226711403652761,400
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2271164240928129,0.22696115517734855,332
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2297268016278768,0.22845007725686023,308
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22995291786093366,0.22878370117160945,172
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2297268016278768,0.22845007725686023,308
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22995291786093366,0.22878370117160945,172
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.227858753402425,0.2269976384665854,276
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22848210979843125,0.22776923807558422,169
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.22785864590359153,0.22699758823241595,276
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22848222004457838,0.2277692390146046,168
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2271500214579126,0.226530581381234,276
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22735842639447612,0.2272471719896159,170
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.22715032888794967,0.22652971248585693,276
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22736063690482963,0.22724552693283862,170
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.22692143343557236,0.226657578042336,276
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22702726919249447,0.22681964710059577,170
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.22694389443325116,0.22667618441301557,276
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22702568231305714,0.2268177271596448,169
