0,1,2,function_value
1,1,1,0.9048130611544464
1,1,2,1.7449326030619228
1,1,3,2.3781914850185166
1,1,4,3.8495028624305045
1,2,1,1.6276258537303465
1,2,2,2.156554762869274
1,2,3,2.9456268307706157
1,2,4,4.179438219157858
1,3,1,1.738434615138236
1,3,2,2.331076557911351
1,3,3,3.330312885055278
1,3,4,4.690259070484136
1,4,1,1.8172509989123713
1,4,2,2.622372242450082
1,4,3,4.1072662419334796
1,4,4,5.186652685728119
2,1,1,1.7627069557650332
2,1,2,2.375062584887713
2,1,3,3.299288310610329
2,1,4,4.657458790139526
2,2,1,2.06812903445657
2,2,2,3.065126194795055
2,2,3,3.951117665956988
2,2,4,4.865239397893416
2,3,1,2.1478574939527446
2,3,2,3.498398005900593
2,3,3,4.630784846864231
2,3,4,5.413463041725148
2,4,1,2.4059585745685417
2,4,2,3.5502527854022214
2,4,3,4.68123902690449
2,4,4,5.860285308075246
3,1,1,1.8567317447446472
3,1,2,2.9404207799164683
3,1,3,4.322725001117375
3,1,4,5.617295425354424
3,2,1,2.358499228671874
3,2,2,3.812076952582291
3,2,3,5.097703802084151
3,2,4,6.069378226932237
3,3,1,2.596979875178207
3,3,2,4.239979679058193
3,3,3,5.75332956699768
3,3,4,6.874387542790745
3,4,1,2.7905598182219684
3,4,2,4.35629249924126
3,4,3,6.280650415059341
3,4,4,7.108389423704095
4,1,1,2.7087610116338308
4,1,2,3.71133151517626
4,1,3,4.775059130520441
4,1,4,5.871757462500752
4,2,1,3.049503821206014
4,2,2,4.159509690415639
4,2,3,5.689134254350049
4,2,4,6.937037532659117
4,3,1,3.205807722598218
4,3,2,4.722529752520448
4,3,3,6.57042359121899
4,3,4,7.592231417112038
4,4,1,3.554001929031913
4,4,2,4.8047340356556205
4,4,3,7.032784825204235
4,4,4,7.68391143301525
