0,1,2,function_value
1.0,1.0,1.0,1.0
1.0,2.0,1.0,1.0
1.0,2.0,2.0,1.3338654378661638
2.0,1.0,1.0,1.232725473179288
2.0,1.0,2.0,2.08090029392206
2.0,2.0,1.0,1.787515745352369
2.0,2.0,2.0,2.860334673835361
2.0,2.0,3.0,3.7802534521167765
2.0,3.0,2.0,3.2893905441969915
2.0,3.0,3.0,4.420845079882744
3.0,2.0,2.0,4.183655403417048
3.0,2.0,3.0,5.121344904488933
3.0,2.0,4.0,6.0846079838196285
3.0,3.0,2.0,4.8568636063660175
3.0,3.0,3.0,5.717769596892133
3.0,3.0,4.0,6.807572290254199
3.0,4.0,3.0,6.515040877978041
3.0,4.0,4.0,7.3590727358566514
4.0,3.0,3.0,7.629140026259643
4.0,3.0,4.0,8.06028174665566
4.0,4.0,3.0,7.930942376234037
4.0,4.0,4.0,8.503380770897888
