lambda,train_mse,val_mse
0.0,1.439816656797991,1.4578789332656654
0.001953125,1.4398202375932645,1.4577402250969747
0.00390625,1.439829876778769,1.4576144864349385
0.0078125,1.4398643052104136,1.4573960957325887
0.015625,1.4401703166055158,1.4566067615519256
0.03125,1.4409303036436385,1.4554886326801781
0.0625,1.442515084070951,1.4549185685565813
0.125,1.4452437891785201,1.4552650827832054
0.25,1.4487592391487962,1.455906616069998
0.5,1.4527000485306045,1.4570070762751743
1.0,1.457189335905405,1.4589299980016692
2.0,1.4624807246592282,1.462036573567716
4.0,1.4685203832978742,1.4661643819638441
8.0,1.474704875256441,1.4705405033705294
16.0,1.480107593589383,1.4743354860892943
32.0,1.4840118105900024,1.4770511938310287
64.0,1.4865115081962068,1.4787662580984442
128.0,1.4879322358544782,1.4797483116384949
256.0,1.4887384575432583,1.4802789767252522
inf,1.4895122498021056,1.4808237462873537
