,0,1,2,function_value
0,1.0,1.0,1.0,1.5477411413694095
1,1.0,1.0,2.0,2.235370283498938
2,1.0,1.0,3.0,2.692804450764935
3,1.0,1.0,4.0,3.2903725707398626
4,1.0,2.0,1.0,2.3478856299959636
5,1.0,2.0,2.0,2.862544380936747
6,1.0,2.0,3.0,3.77590691948637
7,1.0,3.0,1.0,3.027028646829309
8,1.0,3.0,2.0,3.9399111953689774
9,1.0,3.0,3.0,4.012556376803763
10,1.0,3.0,4.0,5.126017460468863
11,1.0,4.0,3.0,5.619203221718989
12,2.0,1.0,1.0,2.3636842592786294
13,2.0,1.0,2.0,3.083856317470863
14,2.0,1.0,3.0,3.730890268130735
15,2.0,2.0,1.0,3.0277470660952064
16,2.0,2.0,2.0,3.6976801488116555
17,2.0,2.0,3.0,4.2378489691090735
18,2.0,2.0,4.0,4.616762610520932
19,2.0,3.0,1.0,3.6231894017964366
20,2.0,3.0,2.0,4.51174825958193
21,2.0,3.0,3.0,4.84235102688947
22,2.0,3.0,4.0,5.745453480678435
23,2.0,4.0,2.0,5.065995569126062
24,2.0,4.0,3.0,5.704535644349416
25,2.0,4.0,4.0,6.045983444157045
26,3.0,1.0,1.0,2.8375166510712986
27,3.0,1.0,2.0,3.7705873267660808
28,3.0,1.0,3.0,4.524278452070042
29,3.0,1.0,4.0,5.023395131822044
30,3.0,2.0,1.0,3.492852407651464
31,3.0,2.0,2.0,4.5369711564675095
32,3.0,2.0,3.0,5.456899515869191
33,3.0,2.0,4.0,5.935063976518211
34,3.0,3.0,1.0,5.151148530944087
35,3.0,3.0,2.0,5.46224149442901
36,3.0,3.0,3.0,6.148593417208026
37,3.0,3.0,4.0,6.82724480269781
38,3.0,4.0,1.0,5.372374592034924
39,3.0,4.0,2.0,6.267923903466085
40,3.0,4.0,3.0,6.934496080158617
41,3.0,4.0,4.0,7.080467608919389
42,4.0,1.0,1.0,3.106821540906547
43,4.0,1.0,2.0,4.001134269402665
44,4.0,1.0,3.0,5.68100225433781
45,4.0,1.0,4.0,5.681031504287458
46,4.0,2.0,1.0,4.0806471665530255
47,4.0,2.0,2.0,5.041897896164681
48,4.0,2.0,3.0,6.038579775350169
49,4.0,2.0,4.0,6.983396706055973
50,4.0,3.0,1.0,5.333465089452639
51,4.0,3.0,2.0,5.938065418471658
52,4.0,3.0,3.0,6.91210774743613
53,4.0,3.0,4.0,7.585975183049083
54,4.0,4.0,1.0,6.399050874394521
55,4.0,4.0,2.0,6.54012728437789
56,4.0,4.0,3.0,7.566593143653742
57,4.0,4.0,4.0,7.747746181826717
