number,mean_noise
0,1.120709967445136
1,1.1320539650863368
2,1.1515456310768653
3,1.1352681037252037
4,1.1363682052112862
5,1.1433816762331448
6,1.1323049059425758
7,1.1306878605657324
8,1.1343856734175835
9,1.1393285119641863
10,1.1492328445030948
11,1.1293327113773879
12,1.1458186565737594
13,1.1496670541344771
14,1.148594551413501
15,1.1527225996569448
16,1.1374157639838065
17,1.1382776715961436
18,1.1370167843858805
19,1.1409355699388026
20,1.1436828727529684
21,1.1387421554087291
22,1.138576007873296
23,1.1412209086288927
24,1.142727163895122
25,1.1487029019347628
26,1.140644592220595
27,1.1459847482825376
28,1.1338509453255898
29,1.1424959851387861
30,1.1323765117132825
31,1.1475635474171482
32,1.1321309781598776
33,1.1352146033208388
34,1.1433921262537625
35,1.1375893862732356
36,1.1270815812453445
37,1.1358398040877336
38,1.1529512095290089
39,1.1300914753847517
40,1.1422204240183411
41,1.1467540744977631
42,1.1430369522132764
43,1.1378188161248044
44,1.148102779623258
45,1.1346684222783259
46,1.1517469196118977
47,1.1425498311376316
48,1.1436239787309828
49,1.14318293444222
50,1.1297206868197043
51,1.1328672447639372
52,1.15525181981313
53,1.1329899374718442
54,1.1443716973807856
55,1.1406004217988348
56,1.1401037914177352
57,1.1290574335368164
58,1.1325790054817748
59,1.1372249228485725
60,1.1317549045253124
61,1.1394370850965556
62,1.152133574511556
63,1.1294687351322712
64,1.1461812456243134
65,1.1426144661161481
66,1.1346854395365136
67,1.1362413306223167
68,1.1441016596734483
69,1.1376734187134359
70,1.1438571625549154
71,1.1364806347381897
72,1.1275517652381473
73,1.1450267814342732
74,1.135459778927978
75,1.1376298887379563
76,1.1248624065975295
77,1.135173359549842
78,1.1340429533060357
79,1.1366248519695314
80,1.147793686441915
81,1.1391577799842647
82,1.130215116266409
83,1.141294373383383
84,1.1498274423114747
85,1.1361951662532346
86,1.1399600781065407
87,1.1581786608585658
88,1.1256580932230236
89,1.140522127302046
90,1.1520397599446524
91,1.146939183390877
92,1.1409807573949275
93,1.142391644668793
94,1.126807271764609
95,1.1412324889624026
96,1.141215072887056
97,1.1393172760721204
98,1.134316273178209
99,1.1423115475820638
100,1.1293669829430282
101,1.1368408229497309
102,1.1428659665506613
103,1.1427976643998528
104,1.1297779453009555
105,1.1298857487323644
106,1.1409037715179124
107,1.1255368939339805
108,1.1506735815577473
109,1.144170149152666
110,1.1482242079720504
111,1.1410870177471433
112,1.138692386280699
113,1.14862675957035
114,1.131058319062516
115,1.1434647880221123
116,1.134323708168614
117,1.1515021200064204
118,1.1512839933983579
119,1.1444116416801606
120,1.1389553472085023
121,1.138820471213096
122,1.1389955248126316
123,1.1426445086408574
124,1.141595102082963
125,1.1359319820489489
126,1.1455866768838021
127,1.14492506887701
128,1.1392528980919945
129,1.132174674448402
130,1.1397084814277831
131,1.138768480900766
132,1.1493712324621392
133,1.1488326054301075
134,1.1353137550789227
135,1.1387986753548103
136,1.1395013391012592
137,1.1363202550191238
138,1.14322127048155
139,1.1283686975380043
140,1.1238502842120042
141,1.1390899439774909
142,1.1426488491714937
143,1.1421285604052829
144,1.1542607173381454
145,1.1286649578353687
146,1.1379983761351655
147,1.123812082439718
148,1.135250977922729
149,1.142595694702803
150,1.1463277258321056
151,1.143740667175494
152,1.141376702812497
153,1.153495007056346
154,1.1403192084215341
155,1.1289241721234833
156,1.1343921516120326
157,1.1483564172756582
