number,mean_noise
0,1.2435176574815534
1,1.2468552411364422
2,1.2475508869497043
3,1.2507929751673812
4,1.2483265758784037
5,1.2390340989078212
6,1.2396147209804709
7,1.2576390163150328
8,1.258006541996245
9,1.2509241879604958
10,1.2496977863764984
11,1.239817922614796
12,1.2453932739697442
13,1.2505940447623691
14,1.240924056586965
15,1.265529466012618
16,1.2618156693926696
17,1.2684920788391767
18,1.2516766989941668
19,1.2637243542740368
20,1.2398927969839524
21,1.2349154842400654
22,1.2506885161908072
23,1.2450308636578131
24,1.2380595859780492
25,1.2336739679677466
26,1.2507980271417851
27,1.25260453156662
28,1.2650643159415162
29,1.2477297085434722
30,1.2484580795624458
31,1.242421651335373
32,1.2591426089600515
33,1.2211087325523364
34,1.2556694213052844
35,1.246835098929241
36,1.2637186305776045
37,1.2486204820162523
38,1.2531418575722608
39,1.2325266198142641
40,1.2615166193593987
41,1.2503508444496345
42,1.2657084354425963
43,1.2449814281488605
44,1.2519240249140475
45,1.2629494411826483
46,1.2424598047513045
47,1.253546287813622
48,1.2405255144958125
49,1.2420542483013748
50,1.2585150785103283
51,1.2576196461966644
52,1.2541439856386067
53,1.2241775770892815
54,1.244636409488876
55,1.245413687359625
56,1.2388077442183991
57,1.2510290386286245
58,1.2374395889197205
59,1.2561006127416374
60,1.249809794990753
61,1.2525143781835306
62,1.2554615270669562
63,1.2548629653758827
64,1.2609393275996266
65,1.2327365810868391
66,1.2461747764095334
67,1.2428335803889625
68,1.2448542436809718
69,1.2444554450031635
70,1.2564206217536924
71,1.2407342247378892
72,1.2659561599145863
73,1.2471948028083637
74,1.2552082730962313
75,1.2502421607630176
76,1.259896171696089
77,1.2680195922343236
78,1.2459376590672782
79,1.2534677322843923
80,1.245125607723393
81,1.2501547128251937
82,1.2388641781830936
83,1.2563537804578089
84,1.2359177221085929
85,1.2512510187632229
86,1.2378307980225625
87,1.2292597603229571
88,1.2603188812081962
89,1.259524961568491
90,1.2487132224301347
91,1.2320906243671814
92,1.2537256388347142
93,1.2519240959403486
94,1.2404885530631284
95,1.2456249869682525
96,1.2685758987219278
97,1.2499743595537718
98,1.2400007240521724
99,1.2491095537299866
100,1.2516984986425908
101,1.258793252338899
102,1.24270724616843
103,1.2509747422616406
104,1.2474700331998574
105,1.2534892210105582
106,1.2388213025104777
107,1.260493119058199
108,1.2545466885447032
109,1.2277282714320479
110,1.267081197249112
111,1.2458226284186171
112,1.2513484018958856
113,1.2439848724633267
114,1.267546416474298
115,1.2414759059489329
116,1.2614837687622205
117,1.2565560818108903
118,1.2432219262954083
119,1.2376016472727058
120,1.2496590649610846
121,1.2469968418488782
122,1.2561647036232853
123,1.2279706714750418
124,1.2370626702875103
125,1.2372694770950432
126,1.2529849530803039
127,1.2650137413483458
128,1.2490189987693074
129,1.2405432966695464
130,1.2542739554064017
131,1.2526091842875409
132,1.2439039308930189
133,1.234289019328701
134,1.246104760594166
135,1.2663061756859186
136,1.2374603074568375
137,1.248296121785657
138,1.2477348918335454
139,1.2571249324511846
140,1.2478378216308015
141,1.2476950173541403
142,1.2488930668341902
143,1.2409138132620787
144,1.2637475933549995
145,1.2482298220758388
146,1.2670951970444255
147,1.271757376187787
148,1.2354155612222641
149,1.2438911552833138
150,1.2539903187183006
151,1.254083420355617
152,1.254053963879326
153,1.238779678075919
154,1.2591615255650135
155,1.264142435559849
156,1.2532164581478171
157,1.2512103047707313
158,1.2625063982135685
159,1.2694318710040053
160,1.2422369265880868
161,1.2311111491849362
162,1.2577680512489489
163,1.2557911686878112
164,1.2385438791255696
165,1.2411371299723868
166,1.256989241367449
167,1.228693844437806
168,1.2624137776142126
169,1.2507661954836262
170,1.2472409466603671
171,1.2470004110668114
172,1.2546387700375534
173,1.2400771779776367
174,1.2500049628198504
175,1.2569716682077523
176,1.247295002113018
177,1.2617247891473957
178,1.2578393499061906
179,1.2520974165476957
180,1.2479719469793118
181,1.242296624814598
182,1.2492543927885165
183,1.2486616415375449
184,1.2440564332815072
185,1.25465951142693
186,1.2272314008805005
187,1.2397286206736322
188,1.2518974420577251
189,1.2436012547936843
190,1.233856451574434
191,1.250634026794286
192,1.2484533190705427
193,1.2556149322069936
194,1.2259175284295547
195,1.265485644515566
196,1.2498428413529148
197,1.2453938221047942
198,1.264976347021422
199,1.245609912728368
200,1.2461677836347858
201,1.254209925647718
202,1.2502313174856292
203,1.2393775683562576
204,1.2498104599129172
205,1.2464156627498908
206,1.2474338566512326
207,1.258323233356808
208,1.2547931751570391
209,1.2441184981069247
210,1.2418204016518977
211,1.2701828284082504
212,1.2537956921667135
213,1.2511449048587073
214,1.2234767423289128
215,1.2245947025790433
216,1.2293324342096672
217,1.2482053201370436
218,1.2504350856841648
219,1.2330974569301776
220,1.2464850985287883
221,1.247980985687281
222,1.2541289803327986
223,1.2566243756252027
224,1.2419745666287432
225,1.2364393344770588
226,1.2424675089510562
227,1.24983669637195
228,1.2739888386774076
229,1.2571131400760571
230,1.2374042185700524
231,1.2633536177441311
232,1.2443967561442382
233,1.252703008466026
234,1.2522903354725052
235,1.254589561962425
236,1.2547742574554934
237,1.238609590183647
238,1.254968727018417
239,1.2572284097968849
240,1.2421732597223512
241,1.2484095617316138
242,1.2664586610381146
243,1.2470799703675444
244,1.236010540287386
245,1.2551931803307537
246,1.247166757439632
247,1.2657322685829653
248,1.2521127411633544
249,1.2752035773775887
250,1.2538167526889317
251,1.247006383905521
252,1.2372811001052684
253,1.2356541157493166
254,1.2422451016277403
255,1.2309384408436244
256,1.2573342868278872
257,1.2437617961609382
258,1.244030768745198
259,1.2498501823573678
260,1.25539353850157
261,1.2510557507155413
262,1.267792534914615
263,1.2575392530254392
264,1.2536338828567009
265,1.2489178143316986
266,1.24333753034895
267,1.2380292917783604
268,1.2321878149040004
269,1.2479111131147071
270,1.2345054311134729
271,1.2554183041697071
272,1.2481732657501168
273,1.2502027318221884
274,1.2559037463968237
275,1.240509052412923
276,1.2522976444400895
277,1.2506449416464103
278,1.245518209357933
279,1.2425898261724844
280,1.2543262829424484
281,1.2391321066365955
282,1.2427245320603721
283,1.254262243028912
284,1.2530263166936286
285,1.2431029046020268
286,1.2383868518004955
287,1.2312592552147696
288,1.2535457998046153
289,1.257219859449848
290,1.2526268984971767
291,1.253315738457213
292,1.2367794125490204
293,1.2552748766155362
294,1.248730857263111
295,1.254415199825623
296,1.2464674491903622
297,1.248360014844052
298,1.2582389248665553
299,1.2252099429916987
300,1.2342238802361383
301,1.2552609183442263
302,1.2595506328807475
303,1.2362932405136255
304,1.2187187319765174
305,1.2667248873503056
306,1.2523666639327438
307,1.2336263096299172
308,1.2365700415006948
309,1.2464914193095262
310,1.2560091003835603
311,1.2283267975122387
312,1.241380585437321
313,1.251751963527126
314,1.2575108101512578
315,1.2453696070029334
316,1.2612886686458957
317,1.2300756329617248
318,1.2582890526060242
319,1.2340904516721851
320,1.2545720558891216
321,1.2640880289824372
322,1.2315184241028758
323,1.245709573890087
324,1.2553715270969088
325,1.249759399687815
326,1.2554110639839906
327,1.2390222552940198
328,1.2610907974190668
329,1.236087432330589
330,1.241974184410232
331,1.2379179655077601
332,1.2591111815680869
333,1.2525266500504462
334,1.240874733651246
335,1.2419579984526572
336,1.2377465462075588
337,1.2584861341489118
338,1.2516015329031174
339,1.253315337507567
340,1.262890591553589
341,1.262639262883473
342,1.2319046146762223
343,1.2444123608340985
344,1.2430781054796611
345,1.254461079319039
346,1.2448208130763818
347,1.2591544585337342
348,1.2458959245704433
349,1.2416730967510126
350,1.2386104513407536
351,1.2448564420299393
352,1.249928719003308
353,1.248674721685854
354,1.2535296759487158
355,1.255440067154267
356,1.2598403457411298
357,1.2325613702843052
358,1.252555228794389
359,1.234491770928436
360,1.2516015739065383
361,1.2519033448212435
362,1.2581529943521652
363,1.2426573587393115
364,1.2416569115667357
365,1.2576335608350262
366,1.2388511475846706
367,1.2408375038023405
368,1.2670809281032875
369,1.2619046137050594
370,1.236724555222722
371,1.2580406023459516
372,1.2617240602070194
373,1.2630858037302333
374,1.2460565249111335
375,1.2409974495347844
376,1.2562509807403395
377,1.245523453627801
378,1.2573388032883102
379,1.2391483483310466
380,1.250603244277461
381,1.246750252147372
382,1.2487216174087
383,1.2235250901493888
384,1.2458889678761462
385,1.236105572971246
386,1.2284004244850695
387,1.2334559765766948
388,1.2538486552912267
389,1.2512622523697585
390,1.2369711759820026
391,1.241552101133548
392,1.2474658569128743
393,1.2418611046035346
394,1.2529649850490587
395,1.2503287461635095
396,1.2599512227826999
397,1.2529125998270565
398,1.26868596729885
399,1.2373952385419031
400,1.239638342458784
401,1.239289560342297
