name,mean_noise,lower_ci,upper_ci
GPT-4o,0.3204005259586404,0.3112157311606074,0.32989792540328366
Human evaluators,1.2489182055681138,1.2277158496682594,1.2685786504363508
Llama 3.1 70b,1.1384652449898036,1.121912847136062,1.1533864958394402
