number,mean_noise
0,0.9037437449427304
1,0.8605277563075127
2,0.9165136197322756
3,0.8676682974105124
4,0.8539679706985915
5,0.9105620992737142
6,0.8145351159633434
7,0.8428341209597006
8,0.795297740110755
9,0.876017296869067
10,0.8099196252212293
11,0.851498434559922
12,0.8632484918332529
13,0.8328044663822012
14,0.8610881252214762
15,0.8212596307309342
16,0.8453158628765731
17,0.9220530716282146
18,0.8518109000938165
19,0.9137153041441182
20,0.8285611520863025
21,0.8336764214370467
22,0.848652544889314
23,0.8438415378183193
24,0.8384144401666327
25,0.8571437134385713
26,0.8588116793187034
27,0.7864215034826119
28,0.8633164289778812
29,0.8623352228471358
30,0.8415685296339529
31,0.8878441531980288
32,0.8494751611395415
33,0.8554175319811638
34,0.8029167709607847
35,0.8200947060924603
36,0.8745992344592002
37,0.8420428685740997
38,0.8853948015177825
39,0.8956837892557307
40,0.7983076070642824
41,0.8241070717563744
42,0.8696147259549819
43,0.8088767740564066
44,0.8597752783597653
45,0.8976567207823957
46,0.895140407604015
47,0.8719503114614767
48,0.8398048603604864
49,0.8188526601243478
50,0.8325469446750616
51,0.8570503410522852
52,0.9108476165450557
53,0.848276267538463
54,0.9178681611571429
55,0.8713468912345695
56,0.8923743331202637
57,0.8613829826001865
58,0.8518683719437345
59,0.8977585464044135
60,0.8618504959357327
61,0.8812181268449084
62,0.8023118721319686
63,0.8734387922565486
64,0.8203758963326682
65,0.8865486665494474
66,0.8410846881499922
67,0.830467006236277
68,0.911508520737104
69,0.8773280075351623
70,0.871127348965954
71,0.8534107082857265
72,0.879615336382128
73,0.8381314770686695
74,0.80433713585868
75,0.8282962567301771
76,0.9066517941216566
77,0.8265797040986897
78,0.836329387667543
79,0.9101487820300083
80,0.8141127923868389
81,0.8134253742415118
82,0.8860622955530874
83,0.844001106624488
84,0.8584055867213213
85,0.8340513466964388
86,0.7877483948251197
87,0.7893114433808048
88,0.7916029820043251
89,0.8536411990350719
90,0.8647927029890624
91,0.8687109450997724
92,0.8418660559996113
93,0.877856298319757
94,0.8206249188761969
95,0.8210792723946961
96,0.9047855367421908
97,0.8432185842471412
98,0.8611940156871137
99,0.8476118675106666
100,0.837562392737677
101,0.8648593882881478
102,0.8573000948138153
103,0.9282149054627076
104,0.8180200600841309
105,0.8846063974567121
106,0.8291702069176953
107,0.8272125532183073
108,0.934138011463542
109,0.8235429791142744
110,0.8940590258222729
111,0.8824665676060008
112,0.8827591866864284
113,0.9060020009353921
114,0.8264688422267257
115,0.8246887548442021
116,0.8806186237645358
117,0.8793664777149626
118,0.8404193425348171
119,0.8262007140417945
120,0.8620047333342249
121,0.787554337314516
122,0.8400891109507248
123,0.8122580435211868
124,0.8599293420901709
125,0.9088148455741617
126,0.8820374320805827
127,0.8402364024085132
128,0.810251091513735
129,0.878891275306421
130,0.7858959741683965
131,0.8766766905698089
132,0.8808433925466655
133,0.8516023283218566
134,0.8328709916120886
135,0.825797528910843
136,0.8187157249738959
137,0.8075559048864313
138,0.8595733689480889
139,0.855551227844543
140,0.8959997883742818
141,0.8234417110955079
142,0.8943668516377306
143,0.8571368111271859
144,0.8709365735226913
145,0.8403326791097899
146,0.8564813109311733
147,0.8363375830824715
148,0.8872384276293895
149,0.8588347390932872
150,0.9034920277517949
151,0.9065663747892455
152,0.8496176300291985
153,0.8495335135308733
154,0.815111494747599
155,0.7998866242430838
156,0.9045124665194878
157,0.8715502268990256
158,0.8526587759178322
159,0.8601371582290034
160,0.8234905373983997
161,0.8783216852347078
162,0.8720272821104973
163,0.8783974868729642
164,0.8648078756249001
165,0.9030012532999421
166,0.8646249047167541
167,0.8359463773019441
168,0.8905174711569928
169,0.881120403715776
170,0.89888607968946
171,0.8640540998958606
172,0.8168686646930395
173,0.8346391260277721
174,0.8680816974315315
175,0.8315637647153887
176,0.8507482492761849
177,0.8107379831898548
178,0.902872967055068
179,0.8142846105026618
180,0.8156959594759373
181,0.8392794453799153
182,0.8549962687443511
183,0.8071006338209332
184,0.8207567978859589
185,0.8350669092726178
186,0.850724491768407
187,0.8512425852737835
188,0.794611438990302
189,0.865966528144467
190,0.8763878645361398
191,0.8139867106943298
192,0.8346293102125871
193,0.8313628708362122
194,0.8456302962769376
195,0.8847346005041858
196,0.8684243352548281
197,0.8497512969870055
198,0.8828608070444149
199,0.8566248032751005
200,0.8751795011877683
201,0.855683322958159
202,0.8429875708713853
