0,1,2,function_value
1.0,1.0,1.0,1.8115785189173617
1.0,1.0,2.0,2.8425377435015404
1.0,1.0,3.0,3.531882003218346
1.0,2.0,1.0,2.572903734153938
1.0,2.0,2.0,3.088369693427921
1.0,2.0,3.0,3.7393955489990076
1.0,2.0,4.0,3.766986388771939
1.0,3.0,1.0,2.6521952125415598
1.0,3.0,2.0,3.531526757708214
1.0,3.0,3.0,3.925841430186622
1.0,4.0,1.0,2.9814265150294474
1.0,4.0,2.0,3.9501431717789424
1.0,4.0,3.0,3.9501431840743284
2.0,1.0,1.0,2.651504296498764
2.0,1.0,2.0,3.367890830543454
2.0,1.0,3.0,4.176626500720437
2.0,1.0,4.0,5.151585997216641
2.0,2.0,1.0,3.034641302137748
2.0,2.0,2.0,4.07095770257291
2.0,2.0,3.0,5.064990547875843
2.0,2.0,4.0,6.543337369956815
2.0,3.0,1.0,3.1870281162990666
2.0,3.0,2.0,4.458017767146585
2.0,3.0,3.0,5.492670198235294
2.0,3.0,4.0,6.543337395355013
2.0,4.0,1.0,3.4968514887976583
2.0,4.0,2.0,4.602885804933019
2.0,4.0,3.0,5.996399669843246
2.0,4.0,4.0,6.91003231987593
3.0,1.0,1.0,2.7943832330313807
3.0,1.0,2.0,4.317632330084496
3.0,1.0,3.0,5.365612742882966
3.0,1.0,4.0,5.8533828837442075
3.0,2.0,1.0,3.232578177545837
3.0,2.0,2.0,4.793714517369925
3.0,2.0,3.0,5.888465841543456
3.0,2.0,4.0,6.543337349327846
3.0,3.0,1.0,3.496852320779875
3.0,3.0,2.0,5.1287930044546215
3.0,3.0,3.0,6.373289770077346
3.0,3.0,4.0,7.150953879159526
3.0,4.0,1.0,3.496851752843211
3.0,4.0,2.0,5.399390763993636
3.0,4.0,3.0,6.767650598986338
3.0,4.0,4.0,7.150959137004039
4.0,1.0,2.0,4.521637650987295
4.0,1.0,3.0,5.365612778676967
4.0,1.0,4.0,6.253918185758861
4.0,2.0,1.0,3.2325781973633037
4.0,2.0,2.0,5.447382917185115
4.0,2.0,3.0,6.49339334082091
4.0,2.0,4.0,7.150905502980023
4.0,3.0,1.0,4.084043770600965
4.0,3.0,2.0,5.447383129077445
4.0,3.0,3.0,7.080086813470399
4.0,3.0,4.0,7.150912646874791
4.0,4.0,1.0,4.08404377264302
4.0,4.0,2.0,5.7223009399174485
4.0,4.0,3.0,7.150991872172215
4.0,4.0,4.0,7.150950108494053
