0,1,2,function_value
1,1,1,1.7603874152541932
1,1,2,2.7516963264504115
1,1,3,3.8612720254782933
1,2,1,2.4664549528590056
1,2,2,3.137813059003845
1,2,3,4.14998743579228
1,2,4,5.399353884196871
1,3,1,2.587565606818802
1,3,2,3.5951551062824776
1,3,3,4.609011944121195
1,4,1,2.870304243925753
1,4,2,3.9682387854500614
1,4,3,5.037285103103077
2,1,1,2.6170810515507674
2,1,2,3.4355454620234065
2,1,3,4.470836816676545
2,1,4,5.678091257293911
2,2,1,3.014788721183971
2,2,2,4.062858832424313
2,2,3,5.062950555879665
2,2,4,6.174602472204713
2,3,1,3.2102544444712398
2,3,2,4.461025565952793
2,3,3,5.520896839544683
2,3,4,6.517168121244768
2,4,1,3.6076190344206864
2,4,2,4.547202811969627
2,4,3,5.853002755820715
2,4,4,6.920860780421387
3,1,1,3.008274642641617
3,1,2,4.264869165098366
3,1,3,5.3493344805811835
3,1,4,6.398247555398807
3,2,1,3.3320421919503445
3,2,2,4.747777128843645
3,2,3,5.878640266893232
3,2,4,6.622024397404943
3,3,1,3.5521524064337084
3,3,2,5.1206734453599045
3,3,3,6.34589476816621
3,3,4,7.402642800106269
3,4,1,4.151755224820514
3,4,2,5.3922384101406164
3,4,3,6.76042535186927
3,4,4,7.641269939433632
4,1,2,4.877733871453988
4,1,3,5.87897752578129
4,1,4,7.088919715960378
4,2,1,4.179249847931636
4,2,2,5.376477162304566
4,2,3,6.429690919476146
4,2,4,7.459719101668839
4,3,1,4.554655201770897
4,3,2,5.571592024757328
4,3,3,6.977699906292159
4,3,4,7.863103673433501
4,4,1,4.961964812276876
4,4,2,6.033166611851586
4,4,3,7.246666455700332
4,4,4,8.14063875430472
