0,1,2,function_value
1,1,1,1.8129031740399175
1,1,2,2.932040447641311
1,1,3,4.056299989847736
1,2,1,2.2365135407456727
1,2,2,3.346399250452384
1,2,3,4.469825578779514
1,2,4,5.593265915971401
1,3,1,2.643526060659262
1,3,2,3.763398264726095
1,3,3,4.88530515865187
1,4,1,3.0578302392516514
1,4,2,4.179439987400698
1,4,3,5.300835354389755
2,1,1,2.493602725106985
2,1,2,3.602596546158072
2,1,3,4.72989303238055
2,1,4,5.854652446705513
2,2,1,2.9105274585835508
2,2,2,4.034287298032383
2,2,3,5.14523317799203
2,2,4,6.270259419544472
2,3,1,3.317319009058256
2,3,2,4.44566465438048
2,3,3,5.561828821070481
2,3,4,6.684614718435811
2,4,1,3.7345549439255175
2,4,2,4.852840159612102
2,4,3,5.977500588641204
2,4,4,7.099652243078111
3,1,1,3.1654009762462803
3,1,2,4.2882316722003315
3,1,3,5.409696564227865
3,1,4,6.531277879542555
3,2,1,3.577358163281916
3,2,2,4.708554323085813
3,2,3,5.830584160918216
3,2,4,6.943454653682623
3,3,1,3.9869204871535158
3,3,2,5.119276560908707
3,3,3,6.26842342477595
3,3,4,7.3635181116786494
3,4,1,4.409655921457446
3,4,2,5.5297118216346215
3,4,3,6.662311356421064
3,4,4,7.775104830709696
4,1,2,4.964283794228987
4,1,3,6.085146347910392
4,1,4,7.207706753692198
4,2,1,4.25756444592605
4,2,2,5.379983008761896
4,2,3,6.500986638503254
4,2,4,7.622125956358869
4,3,1,4.672249970131097
4,3,2,5.791538907185857
4,3,3,6.919227314869278
4,3,4,8.033662151833585
4,4,1,5.087215796942502
4,4,2,6.2074684816965116
4,4,3,7.328457669940154
4,4,4,8.443456176884665
